Longitude,Latitude,x,y,PM25 Annual Ground,PM25 Winter Ground,PM25 Spring Ground,PM25 Summer Ground,PM25 Fall Ground,SO2 Annual Ground,SO2 Winter Ground,SO2 Spring Ground,SO2 Summer Ground,SO2 Fall Ground,NOX Annual Ground,NOX Winter Ground,NOX Spring Ground,NOX Summer Ground,NOX Fall Ground,NH3 Annual Ground,NH3 Winter Ground,NH3 Spring Ground,NH3 Summer Ground,NH3 Fall Ground,PM25 Annual 150m,PM25 Winter 150m,PM25 Spring 150m,PM25 Summer 150m,PM25 Fall 150m,SO2 Annual 150m,SO2 Winter 150m,SO2 Spring 150m,SO2 Summer 150m,SO2 Fall 150m,NOX Annual 150m,NOX Winter 150m,NOX Spring 150m,NOX Summer 150m,NOX Fall 150m,NH3 Annual 150m,NH3 Winter 150m,NH3 Spring 150m,NH3 Summer 150m,NH3 Fall 150m,PM25 Annual 300m,PM25 Winter 300m,PM25 Spring 300m,PM25 Summer 300m,PM25 Fall 300m,SO2 Annual 300m,SO2 Winter 300m,SO2 Spring 300m,SO2 Summer 300m,SO2 Fall 300m,NOX Annual 300m,NOX Winter 300m,NOX Spring 300m,NOX Summer 300m,NOX Fall 300m,NH3 Annual 300m,NH3 Winter 300m,NH3 Spring 300m,NH3 Summer 300m,NH3 Fall 300m
-102.632942,47.961876,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-102.686915,47.878125,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-101.777439,31.3636,64,32,25772.2104076,34878.8654048,13668.257012,14904.4520268,39517.3809458,9373.63214311,14870.4513066,6147.28348894,7306.96417375,9033.91265173,1027.09838039,2775.03605961,393.827193403,149.72702033,770.302438079,10908.2254317,16399.610313,5776.46623421,6228.13948985,15205.239385,19231.2885673,26920.4862481,8671.78435697,9598.61321842,31607.5056555,10160.2614393,16276.0012796,6362.466853,7622.6383537,10134.7631024,1081.83482674,3102.44037525,296.757664683,164.349155917,704.375671138,10233.8464817,14932.4478091,4946.12788622,6098.34443129,14905.1813813,17852.7388104,25072.1022672,8322.44399278,8873.38907638,28997.6490143,10150.7930652,16754.9955437,6472.66525587,6782.07403475,10289.486931,1017.40199415,2875.84208978,298.628340963,181.983770844,661.563631788,10497.4502955,15195.1121326,5209.74097696,5507.71438675,15958.6098404
-102.517707,47.818193,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-101.93791,32.21101,64,35,31715.1881994,41427.3209613,18175.1153909,19934.0218066,47236.845557,9938.63908092,15507.8099242,6661.51724466,7763.2851917,9669.39486398,1297.60377902,3468.9321006,463.100253905,204.682142601,1027.84549479,12676.6735941,19228.2022025,6584.93934932,7314.53817695,17562.4006471,23006.4580911,31108.221703,11859.0844657,12635.0310092,36328.209336,11118.8239154,17481.1453109,7367.06896397,8252.16506975,11067.270282,1332.93366326,3742.28901598,374.468272555,215.170716999,927.615099372,11415.2041073,16646.991262,5529.80832491,6636.49671974,16821.7785411,21177.790271,28552.3934231,11376.4195758,11682.5654483,32987.1367492,11411.4349561,19112.7515355,7493.2791773,7419.37233887,11298.3998307,1241.09850174,3432.4960772,374.303147996,231.262429809,861.773420434,11281.1303576,16168.947042,5681.08451863,6115.58371513,17092.0325874
-103.053574,47.788136,64,83,27081.1246407,44059.4515115,12338.9964523,13143.0706992,38769.2228693,16571.4447945,25899.7226519,12688.2630435,10221.9024624,17322.3186362,4122.456056,11102.0789882,798.793701089,495.999066406,4007.52983706,13973.6440939,28633.2305715,4025.29148158,2590.49463801,20643.8168764,24417.1890389,42004.3416918,9542.41900101,10234.1186793,35868.788492,18461.1438348,29589.9731297,12507.7910201,10921.9729689,20503.2739209,4647.5696892,13922.6505493,653.594519779,401.724161965,3539.84948778,17080.6863123,34820.1023687,4761.60953577,3068.90070528,25669.6175169,23505.8382609,39820.1685646,9176.74464489,9796.95266284,35197.8097936,18073.692264,30295.8031321,12456.8230216,9954.02971327,19309.6901948,4314.65325138,12809.3903687,641.749336822,363.946621954,3367.49542478,18311.7823421,35420.2926177,5018.17652866,3467.35395524,29283.490908
-103.277142,48.170141,64,84,25784.3446685,40981.4012513,11506.9150583,12475.7942051,38155.3322507,17443.9251664,29946.8421442,12115.6591592,10779.9335951,16748.5955152,4037.59835075,11251.7381424,783.96330668,610.111018407,3410.05991768,13639.4626402,27001.1318405,3433.46470141,2424.89084901,21697.4774409,23940.685196,40962.7977699,8968.67493134,10050.2873945,35762.1055176,19632.5771075,35131.2947509,11164.9183989,11624.3223029,20144.678177,4942.77577941,15714.5895803,611.562270236,465.114484361,2923.95321052,17897.6265223,36092.6224677,4363.74311201,2950.19168886,28174.6229505,23137.0569555,39115.9501525,8635.50164439,9679.18118254,35085.7597703,19622.7374009,37443.6998936,11210.851759,10322.5174033,19154.0668552,4564.55588077,14363.3797643,600.027167773,424.540519624,2802.90055616,19668.8538545,37703.5987339,4716.10785542,3468.95189655,32702.482247
-102.60762,47.588771,65,82,26925.4510276,41220.357483,13708.1898964,13625.9259358,39132.3335322,16178.6420963,23664.558771,13419.4508945,10598.8990917,16892.5131554,3932.40930855,10074.6157313,978.024438891,579.247103097,4021.64879992,13335.3561896,26127.6258333,4335.70981135,2411.09514254,20465.8001455,24131.9190467,39401.1339509,10375.568534,10699.2903452,36032.0958754,18328.0087519,27916.0251563,13462.9840083,11479.1318743,20140.9609578,4542.53443635,13264.6698025,806.469229605,465.33968508,3553.85890818,16335.1769263,32190.0421881,4954.0701974,2836.94125581,25355.9604125,23381.7632498,37588.3750486,9918.28407031,10263.7707991,35723.7720077,18349.0076518,29979.221421,13376.3766855,10769.6379597,18989.6407208,4221.23309677,12207.7311167,786.931711674,435.615452156,3374.55968649,17689.3785472,33151.1144593,5185.18630848,3243.84000614,29132.2161623
-101.930833,32.153975,64,35,31715.1881994,41427.3209613,18175.1153909,19934.0218066,47236.845557,9938.63908092,15507.8099242,6661.51724466,7763.2851917,9669.39486398,1297.60377902,3468.9321006,463.100253905,204.682142601,1027.84549479,12676.6735941,19228.2022025,6584.93934932,7314.53817695,17562.4006471,23006.4580911,31108.221703,11859.0844657,12635.0310092,36328.209336,11118.8239154,17481.1453109,7367.06896397,8252.16506975,11067.270282,1332.93366326,3742.28901598,374.468272555,215.170716999,927.615099372,11415.2041073,16646.991262,5529.80832491,6636.49671974,16821.7785411,21177.790271,28552.3934231,11376.4195758,11682.5654483,32987.1367492,11411.4349561,19112.7515355,7493.2791773,7419.37233887,11298.3998307,1241.09850174,3432.4960772,374.303147996,231.262429809,861.773420434,11281.1303576,16168.947042,5681.08451863,6115.58371513,17092.0325874
-103.368409,48.40203,64,85,25535.7092059,42173.5046641,11197.1635957,10900.9813445,37857.1397127,18277.8341588,32329.9857466,13059.4373008,10753.0394085,16760.3025536,4310.8232771,12159.5001795,912.513815279,674.835553975,3393.17060775,14301.3173346,28420.7369784,3620.91073936,1867.15896376,23294.3395402,23951.8618761,41959.8026047,8989.13433279,9216.84513792,35623.0838792,20274.3019884,36931.1204014,11892.3778339,11691.9968014,20121.179874,5218.00308876,16786.8884832,709.430604509,524.997594001,2795.58871629,19403.3558398,39193.5843339,4640.47582204,2502.74284656,31265.2903764,23051.727016,39966.9117424,8674.32751217,8934.71233745,34599.7203717,19895.4408963,37984.015578,11954.9387437,10162.2004394,19118.127087,4808.14354196,15271.840104,689.59933881,492.730458982,2710.02227084,21384.3633076,40964.875323,4959.35102568,2965.91861315,36521.055412
-102.626926,47.871627,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-102.915708,48.232035,65,84,26290.8734785,41714.9118024,11969.5589014,13125.7468069,38341.1458016,17834.861096,30662.9331784,13036.0335638,11325.4574321,16155.1049974,4043.57857843,11309.8521269,924.156260343,660.677215073,3190.24649898,14170.5795699,28207.0379115,3713.00095886,2278.04545005,22481.864718,24318.5526244,41411.1983542,9451.91787391,10537.7100743,35857.7814407,20080.4773789,35621.7697629,12513.0070747,12244.0824106,19558.6731921,5040.79086691,16187.2895582,739.820047078,525.990650229,2656.55356691,19060.5882918,38549.3977422,4678.88785982,2834.6107558,30169.7039841,23509.4884523,39524.0741862,9114.7726719,10151.1570896,35219.9333448,19925.1016477,37218.7864354,12504.6347605,11131.2546705,18524.7141526,4658.20594039,14781.9666372,719.333949093,483.495832445,2584.21192676,21147.2871392,40426.690785,5020.68810163,3300.19870492,35743.3644229
-103.121129,47.875923,64,83,27081.1246407,44059.4515115,12338.9964523,13143.0706992,38769.2228693,16571.4447945,25899.7226519,12688.2630435,10221.9024624,17322.3186362,4122.456056,11102.0789882,798.793701089,495.999066406,4007.52983706,13973.6440939,28633.2305715,4025.29148158,2590.49463801,20643.8168764,24417.1890389,42004.3416918,9542.41900101,10234.1186793,35868.788492,18461.1438348,29589.9731297,12507.7910201,10921.9729689,20503.2739209,4647.5696892,13922.6505493,653.594519779,401.724161965,3539.84948778,17080.6863123,34820.1023687,4761.60953577,3068.90070528,25669.6175169,23505.8382609,39820.1685646,9176.74464489,9796.95266284,35197.8097936,18073.692264,30295.8031321,12456.8230216,9954.02971327,19309.6901948,4314.65325138,12809.3903687,641.749336822,363.946621954,3367.49542478,18311.7823421,35420.2926177,5018.17652866,3467.35395524,29283.490908
